Event.Id,Event.Date,Location,Make,Model,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Broad.phase.of.flight,Aircraft.Category,Number.of.Engines
20171111X83107,2017-11-10,"Panama City, FL",CESSNA,180,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171116X92836,2017-11-10,"Goias, Brazil",QUEST AIRCRAFT COMPANY LLC,KODIAC 100,Turbo Prop,0.0,3.0,NULL,Airplane,1.0
20171112X42004,2017-11-11,"Page, AZ",ROBINSON HELICOPTER,R44,Reciprocating,0.0,2.0,NULL,Helicopter,1.0
20171113X12015,2017-11-11,"Burlington, WA",STINSON,SR 5E,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171113X84023,2017-11-11,"EUFAULA, AL",CLOUD JEFFREY FERRELL,LONG EZ,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171112X54939,2017-11-12,"Tucson, AZ",CESSNA,182H,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171112X72518,2017-11-12,"Fountain Run, KY",PIPER,PA32,Reciprocating,4.0,0.0,NULL,Airplane,1.0
20171114X52018,2017-11-12,"Grayslake, IL",CESSNA,T210N,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171115X14957,2017-11-14,"Columbus, OH",TEXTRON AVIATION INC,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171117X01501,2017-11-15,"Rock Springs, WY",CESSNA,T207A,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171116X53956,2017-11-16,"Melborne, FL",PIPER,PA 28R,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171116X91006,2017-11-16,"Opa Locka, FL",CESSNA,172RG,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171117X45442,2017-11-16,"Pompano, FL",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171116X35540,2017-11-17,"Nipton, CA",PIPER,PA 28R-201T,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171117X44300,2017-11-17,"Statesville, NC",BEECH,B 55,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171120X44552,2017-11-17,"Oak Island, NC",HOMER,AUTOGYRO CAVALON,Reciprocating,0.0,0.0,NULL,Gyrocraft,1.0
20171118X25754,2017-11-18,"Bladenboro, NC",PIPER,PA28,Reciprocating,0.0,0.0,NULL,Airplane,1.0
